title,author,format,status,pct_complete,first_seen,last_seen,events,sources,note_file
Revenge of the Tipping Point,Malcolm Gladwell,library,borrowed,,2025-01-07,2025-02-16,2,libby,
The Checklist Manifesto,Atul Gawande,library,borrowed,,2025-01-07,,1,libby,
Generative AI,"Harvard Business Review, Ethan Mollick, Da",library,borrowed,,2025-01-04,,1,libby,
The Thin Book of Trust,Charles Feltman,library,borrowed,,2024-12-26,,1,libby,
HBR's 10 Must Reads on Public Speaking and Presenting,"Harvard Business Review, Chris Anderson, A",library,borrowed,,2024-12-22,,1,libby,
Resonate: Present Visual Stories that Transform Audiences,,print,owned,,2024-12-16,,1,amazon-print,
Build: An Unorthodox Guide to Making Things Worth Making – An NYT Bestselling ,Tony Fadell,ebook,borrowed,,2024-12-16,,2,kindle-library; kindle-unlimited,
Turn the Ship Around!,"L. David Marquet, Captain, USN, retired",library,borrowed,,2024-12-10,,1,libby,
Harvard Business Review Emotional Intelligence Collection,Harvard Business Review,library,borrowed,,2024-11-24,,1,libby,
Mindset,Carol Dweck,library,borrowed,,2024-11-18,,1,libby,
